"quarter_key","quarter_start","unit","unit_multiplier","overnight_deposit_value","fixed_term_deposit_value","overnight_ptp_change_percentage","overnight_yoy_change_percentage","fixed_term_ptp_change_percentage","fixed_term_yoy_change_percentage","total_loan_value","instalment_credit_value","housing_loan_value","total_loan_ptp_change_percentage","total_loan_yoy_change_percentage","instalment_credit_ptp_change_percentage","instalment_credit_yoy_change_percentage","housing_loan_ptp_change_percentage","housing_loan_yoy_change_percentage","investment_value","investment_ptp_change_percentage","investment_yoy_change_percentage"
"2020_Q1",2020-01-01,euro,billions,4570.09,741.62,0.40,8.33,-0.40,-0.17,1300.993,177.994,1062.78,1.0,5.2,0.8,2.5,1.2,6.0,2903.96,0.80,1.40
"2020_Q2",2020-04-01,euro,billions,4720.46,732.67,1.27,9.50,-0.10,-1.40,1319.403,176.887,1083.52,1.4,5.2,-0.6,0.7,2.0,6.4,2966.29,0.53,3.63
"2020_Q3",2020-07-01,euro,billions,4827.58,732.94,0.67,9.97,-0.07,-1.23,1335.85,178.342,1098.81,1.2,5.0,0.8,1.1,1.4,6.2,2919.63,-0.77,0.70
"2020_Q4",2020-10-01,euro,billions,4972.70,732.98,1.17,10.57,0.13,-1.13,1353.419,177.449,1118.27,1.3,5.0,-0.5,0.5,1.8,6.5,2931.23,-0.20,1.80
"2021_Q1",2021-01-01,euro,billions,5108.73,734.28,0.70,11.77,-0.03,-1.00,1364.812,175.38,1132.61,0.8,4.9,-1.2,-1.5,1.3,6.6,2910.00,0.33,0.20
"2021_Q2",2021-04-01,euro,billions,5216.13,729.07,0.70,10.53,-0.33,-0.53,1386.321,174.753,1153.96,1.6,5.1,-0.4,-1.2,1.9,6.5,2869.59,-0.63,-3.23
"2021_Q3",2021-07-01,euro,billions,5253.93,714.98,0.03,8.83,-0.57,-2.47,1410.525,176.441,1176.63,1.7,5.6,1.0,-1.1,2.0,7.1,2842.36,-0.17,-2.67
"2021_Q4",2021-10-01,euro,billions,5281.72,712.63,0.30,6.23,-0.07,-2.80,1429.306,184.081,1196.61,1.3,5.6,4.3,3.7,1.7,7.0,2796.47,-0.60,-4.60
"2022_Q1",2022-01-01,euro,billions,5297.94,710.68,0.00,3.70,-0.20,-3.23,1444.914,184.448,1211.45,1.1,5.9,0.2,5.2,1.2,7.0,2804.25,0.33,-3.67
"2022_Q2",2022-04-01,euro,billions,5345.80,705.32,0.47,2.50,-0.27,-3.23,1466.96,184.599,1232.37,1.5,5.8,0.1,5.6,1.7,6.8,2787.90,-0.20,-2.87
"2022_Q3",2022-07-01,euro,billions,5417.05,712.37,0.40,3.13,1.07,-0.37,1488.595,187.322,1250.62,1.5,5.5,1.5,6.2,1.5,6.3,2828.37,0.23,-0.47
"2022_Q4",2022-10-01,euro,billions,5429.30,772.16,0.10,2.80,3.57,8.37,1495.779,185.935,1260.10,0.5,4.7,-0.7,1.0,0.8,5.3,2818.55,-0.60,0.77
"2023_Q1",2023-01-01,euro,billions,5327.12,888.02,-1.03,0.57,4.83,24.93,1496.15,185.523,1261.44,0.0,3.5,-0.2,0.6,0.1,4.1,2833.72,1.07,1.03
"2023_Q2",2023-04-01,euro,billions,5243.61,1010.72,-0.33,-1.90,4.37,43.30,1500.124,186.045,1265.21,0.3,2.3,0.3,0.8,0.3,2.7,2884.99,0.50,3.47
"2023_Q3",2023-07-01,euro,billions,5144.59,1144.71,-0.63,-5.00,3.83,60.67,1505.885,186.883,1270.14,0.4,1.2,0.5,-0.2,0.4,1.6,2881.07,-0.57,1.83
"2023_Q4",2023-10-01,euro,billions,5050.30,1261.53,-0.40,-6.97,3.27,63.43,1505.683,185.617,1271.29,0.0,0.7,-0.7,-0.2,0.1,0.9,2875.73,0.17,2.03
"2024_Q1",2024-01-01,euro,billions,4960.40,1404.45,-0.67,-6.87,3.50,58.23,1505.113,186.148,1271.04,0.0,0.6,0.3,0.3,0.0,0.8,2960.62,1.37,4.47
"2024_Q2",2024-04-01,euro,billions,4966.65,1500.78,0.17,-5.30,1.77,48.60,1507.458,186.399,1274.18,0.2,0.5,0.1,0.2,0.2,0.7,3002.35,0.37,4.07
"2024_Q3",2024-07-01,euro,billions,5031.81,1555.98,0.50,-2.17,0.97,36.00,1515.254,187.108,1280.07,0.5,0.6,0.4,0.1,0.5,0.8,3069.49,0.80,6.57
"2024_Q4",2024-10-01,euro,billions,5159.08,1615.65,1.10,2.17,1.23,28.13,1519.869,187.678,1283.78,0.3,0.9,0.3,1.1,0.3,1.0,3118.70,0.30,8.47
"2025_Q1",2025-01-01,euro,billions,5226.80,1614.81,0.17,5.37,-0.40,15.07,1521.77,186.94,1287.28,0.1,1.1,-0.4,0.4,0.3,1.3,3287.93,2.07,11.03
"2025_Q2",2025-04-01,euro,billions,5347.22,1577.24,0.70,7.67,-0.90,5.10,1530.974,187.88,1294.90,0.6,1.6,0.5,0.8,0.6,1.6,3407.90,1.20,13.50
