"ecb_date","deposit_rate","refinancing_rate","marginal_lending_rate"
2019-09-18,-0.5,0.0,0.25
2022-07-27,0.0,0.5,0.75
2022-09-14,0.75,1.25,1.5
2022-11-02,1.5,2.0,2.25
2022-12-21,2.0,2.5,2.75
2023-02-08,2.5,3.0,3.25
2023-03-22,3.0,3.5,3.75
2023-06-21,3.5,4.0,4.25
2023-08-02,3.75,4.25,4.5
2023-09-20,4.0,4.5,4.75
2024-06-12,3.75,4.25,4.5
2024-10-23,3.25,3.4,3.65
2024-12-18,3.0,3.15,3.4
2025-02-05,2.75,2.9,3.15
2025-03-12,2.5,2.65,2.9
2025-04-23,2.25,2.4,2.65
2025-06-11,2.0,2.15,2.4
